performer_id,performer_name,p_type,instrument_id
1,Drake ,Hip Hop,vocals
2,Ed Sheeran,Pop,vocals
3,Big Sean,Hip Hop,vocals
4,Shawn Mendes,Pop,vocals
5,Alessia Cara,Pop,vocals
6,Bruno Mars,Pop,vocals
7,Sam Hunt,Country,vocals
8,James Arthur,Pop,vocals
9,Taylor Swift,Country,vocals
10,Justin Bieber,Pop,vocals
11,Justin Timberlake,Pop,vocals
12,Katy Perry,Pop,vocals
13,Lady Gaga,Pop,vocals
14,Calvin Harris,Electronic,electronic DJ
15,Luke Bryan,Country,vocals
16,Keith Urban,Country,vocals
17,Travis Scott,Country,vocals
18,Chris Brown,Hip Hop,vocals
19,Kanye West,Hip Hop,vocals
20,Ariana Grande,Pop,vocals
21,J Cole,Hip Hop,vocals
22,Jason Derulo,Pop,vocals
23,Hailee Steinfeld,Pop,vocals
24,Thomas Rhett,Country,vocals
25,Miley Cryus,Pop,vocals
26,Jason Aldean,Country,vocals
27,Dierks Bentley,Country,vocals
28,Selena Gomez,Pop,vocals
29,John Legend,Pop,vocals
30,Blake Shelton,Country,vocals
31,Martin Garrix,Electronic,electronic DJ
32,Dustin Lynch,Pop,vocals
33,Lorde ,Indie,vocals
34,Post Malone,Hip Hop,vocals
35,Future ,Hip Hop,vocals
36,Kendrick Lamar,Hip Hop,vocals
37,DJ Khaled,Electronic,electronic DJ
38,Zedd ,Electronic,electronic DJ
39,Zayn Malik,Pop,vocals
40,Dan Reynolds,Pop,guitar
41,Wayne Sermon,Pop,keyboard
42,Ben McKee,Pop,vocals
43,Daniel Platzman,Pop,drums
44,Niall Horan,Pop,vocals
45,Harry Styles,Pop,vocals
46,Louis Tomlinson,Pop,vocals
47,Liam Payne,Pop,vocals
48,Guy Berryman,Rock,guitar
49,Jonny Buckland,Rock,keyboard
50,Will Champion,Rock,drums
51,Chris Martin,Rock,vocals
52,Tyler Joseph,Hip Hop,vocals
53,Josh Dun,Hip Hop,drums
54,Alexandre van den Hoef,Electronic,electronic DJ
55,Christopher van den Hoef,Electronic,electronic DJ
56,Patrick Stump,Rock,vocals
57,Joe Trohman,Rock,guitar
58,Pete Wentz,Rock,keyboard
59,Andy Hurley,Rock,drums
60,Hayley Williams,Rock,vocals
61,Zac Farro,Rock,drums
62,Taylor York,Rock,guitar
63,Mark Hoppus,Rock,vocals
64,Travis Barker,Rock,guitar
65,Matt Skiba,Rock,drums
66,Luke Hemmings,Pop,vocals
67,Michael Clifford,Pop,keyboard
68,Calum Hood,Pop,guitar
69,Ashton Irwin,Pop,drums
70,James Hetfield,Heavy Metal,vocals
71,Lars Ulrich,Heavy Metal,drums
72,Kirk Hammett,Heavy Metal,keyboard
73,Robert Trujillo,Heavy Metal,guitar
74,Bono ,Rock,vocals
75,The Edge ,Rock,guitar
76,Adam Clayton ,Rock,guitar
77,Larry Mullen Jr ,Rock,drums
78,Hillary Scott ,Country,vocals
79,Dave Haywood ,Country,vocals
80,Charles Kelley ,Country,guitar
81,Andrew Taggart,Electronic ,electronic DJ
82,Alex Pall,Electronic,electronic DJ
83,Alex Turner,Indie,vocals
84,Matt Helders,Indie,drums
85,Jamie Cook,Indie,guitar
86,Nick O'Malley,Indie,guitar
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
